map,algorithm,heuristic,d,g,#E,#F
maps/N3x3/map1.txt,bfs,N/A,5,17,10,6
maps/N3x3/map1.txt,dfs,N/A,8,22,8,8
maps/N3x3/map1.txt,astar,h,5,17,56,5
maps/N3x3/map1.txt,astar,h_chebyshev,5,17,57,4
maps/N3x3/map1.txt,astar,h_euclidean,5,17,56,5
maps/N3x3/map1.txt,astar,h_minhardness,5,17,57,4
maps/N3x3/map1.txt,astar,h_combined,5,17,47,11
maps/N3x3/map2.txt,bfs,N/A,6,11,17,12
maps/N3x3/map2.txt,dfs,N/A,34,97,34,24
maps/N3x3/map2.txt,astar,h,6,11,22,14
maps/N3x3/map2.txt,astar,h_chebyshev,6,11,27,13
maps/N3x3/map2.txt,astar,h_euclidean,6,11,22,14
maps/N3x3/map2.txt,astar,h_minhardness,6,11,27,13
maps/N3x3/map2.txt,astar,h_combined,6,11,17,12
maps/N3x3/map3.txt,bfs,N/A,8,10,46,13
maps/N3x3/map3.txt,dfs,N/A,36,89,36,24
maps/N3x3/map3.txt,astar,h,8,10,25,12
maps/N3x3/map3.txt,astar,h_chebyshev,8,10,26,11
maps/N3x3/map3.txt,astar,h_euclidean,8,10,25,12
maps/N3x3/map3.txt,astar,h_minhardness,8,10,26,11
maps/N3x3/map3.txt,astar,h_combined,8,10,14,7
maps/N3x3/map4.txt,bfs,N/A,8,19,46,13
maps/N3x3/map4.txt,dfs,N/A,36,97,36,24
maps/N3x3/map4.txt,astar,h,8,19,69,1
maps/N3x3/map4.txt,astar,h_chebyshev,8,19,69,1
maps/N3x3/map4.txt,astar,h_euclidean,8,19,69,1
maps/N3x3/map4.txt,astar,h_minhardness,8,19,69,1
maps/N3x3/map4.txt,astar,h_combined,8,19,58,5
maps/N3x3/map5.txt,bfs,N/A,5,14,10,6
maps/N3x3/map5.txt,dfs,N/A,8,35,8,8
maps/N3x3/map5.txt,astar,h,5,14,31,13
maps/N3x3/map5.txt,astar,h_chebyshev,5,14,33,13
maps/N3x3/map5.txt,astar,h_euclidean,5,14,31,13
maps/N3x3/map5.txt,astar,h_minhardness,5,14,33,13
maps/N3x3/map5.txt,astar,h_combined,5,14,25,15
